Subj_ID,Sess_ID,Trial_ID,Seg,SessionName,Run_idx,Rew_Money,Rew_Mag,MaxEffort,MinEffort,Time_Abs,Force_Abs,Time_trial,Force_rel,Time_trialAB,Force_relAB,AUC,AUC_normed,Points_won,Invalid_effort,Rel_Dev1,Rel_Dev2,Rel_Int,Force_rel_RAW,STD,Work,V_line,Com10D1F,T_Lat,S_Length,S_AUC,S_Slope,S_InvSlope
9,1,40,1,000001,2,1,1,11264,32703,688951.5801136,38615,0.0216695000417531,0,14173.424600028,0.715829525253939,NaN,NaN,8.1,1,-106.380894631279,-106.380894631279,3143.28247780341,-27.5759130556463,5.35224237471629,0,0,-65.9685619665096,NaN,0,0,NaN,0
9,1,40,2,000001,2,1,1,11264,32703,688953.222240149,17296.4747474747,1.66379604902532,72.8440489117004,14173.424600028,0.715829525253938,688953.380556934,15360.6368715084,8.1,1,0.558384818378288,0.537277245612523,3246.24755015243,71.862144934583,5.35224237471629,1,0,9.28518827907792,NaN,3.2817245000042,239.666329070238,25.2867908269404,62.8161229480158
9,1,41,1,000001,2,0,10,11264,32703,688969.672383088,37236.7647058823,0.272436388271779,0,8822.55235785252,0.443344339590578,688969.846382077,37235.4615384615,52,0,-3.05778638709554,0.00878004077231436,3273.26256204023,-21.1472769526673,5.35224237471629,0,0,-1.04825455533209,NaN,0.525777700007893,0,0,0
9,1,41,2,000001,2,0,10,11264,32703,688971.337914786,20355.2048192771,1.9379680861855,58.7651508743203,8822.55235785252,0.443344339590578,688971.337914786,20355.2048192771,52,0,0.486052611022475,-2.67523620391604e-17,3337.09842615643,57.5950146029334,5.35224237471629,1,0,8.35713767894002,NaN,2.75047879992053,162.126177697589,21.5791419637437,111.699547501416
9,1,42,1,000001,2,0,10,11264,32703,688986.371136462,38431.8461538462,0.21204676157168,0,11130.9529362377,0.562169340214025,688986.5451912,38460.4,66,0,-3.33378781300793,-0.0114815917791802,3366.69066951955,-26.7216108673266,5.35224237471629,0,0,-0.486173651899664,NaN,0.398949500056915,0,0,0
9,1,42,2,000001,2,0,10,11264,32703,688988.028642003,18015.3294797688,1.86955230292121,69.9508296909947,11130.9529362377,0.562169340214026,688988.028642003,18015.3294797688,66,0,0.614891504246353,0,3444.8165881303,68.5091213220356,5.35224237471629,1,0,10.6107474709129,NaN,2.86598939995747,201.0183970078,27.7066710956319,91.726264978342
9,1,43,1,000001,2,0,10,11264,32703,689000.795213709,37403.4545454545,0.273314609047675,0,11373.7814263725,0.574433405372348,689000.9614785,37299.8461538462,66,0,-3.05093945189099,0,3458.76095373065,-21.9247844836725,5.35224237471629,0,0,0.899097792609618,NaN,0.518971099983901,0,0,0
9,1,43,2,000001,2,0,10,11264,32703,689002.452985007,17037.8795180723,1.9310859071844,73.7740149107305,11373.7814263725,0.574433405372349,689002.452985007,17037.8795180723,66,0,0.649671778208501,-1.07009448156642e-17,3537.87594881683,73.0683356589753,5.35224237471629,1,0,11.0136239720766,NaN,2.7502678000601,203.394148053921,31.4757608506959,85.8178941371417
9,1,44,1,000001,2,0,10,11264,32703,689016.144437345,39434.2068965517,0.237399544884001,0,10452.6120621298,0.527909700107564,689016.3187327,38670.75,63,0,-3.89461037007966,0.030881522716416,3562.97402440757,-31.3970189680103,5.35224237471629,0,0,7.04902924255024,NaN,0.44939860003069,0,0,0
9,1,44,2,000001,2,0,10,11264,32703,689017.802078228,18343.1117647059,1.8950404276996,67.73421112005,10452.6120621298,0.527909700107564,689017.802078228,18343.1117647059,63,0,0.63979059602758,-0.0052680244633886,3633.59982125631,66.9802147268721,5.35224237471629,1,0,10.3877759882347,NaN,2.81479749991558,191.246447633738,29.2693310411885,128.864788470697
9,1,45,1,000001,2,0,10,11264,32703,689031.410223982,38579.4242424242,0.2716622818085,0,9785.87620691263,0.494236172066295,689031.576329592,38051.1538461538,58,0,-3.18691368180617,0.00904610261389964,3657.72564472986,-27.4099736108225,5.35224237471629,0,0,7.32875657079211,NaN,0.517146800062619,0,0,0
9,1,45,2,000001,2,0,10,11264,32703,689033.067938107,18862.4397590361,1.92937640722207,64.6977667306608,9785.87620691263,0.494236172066295,689033.067938107,18862.4397590361,58,0,0.655122940570529,-0.001798321603968,3720.2970510523,64.5578629645219,5.35224237471629,1,0,10.3766528401961,NaN,2.74999379995279,178.259384740079,31.2609661411255,70.0484573046283
9,1,46,1,000001,2,0,1,11264,32703,689045.476349763,37777.3142857143,0.282452662808022,0,9804.7506879985,0.492701039597915,689045.650518643,37811.3571428571,5.8,0,-3.14993369893319,1.01506105108586e-16,3718.99444457056,-23.6686146075576,5.35224237471629,0,0,0.172049602526771,NaN,0.544883300084621,0,0,0
9,1,46,2,000001,2,0,1,11264,32703,689047.142202916,18850.2060606061,1.94830581571371,65.5664319023977,9804.7506879985,0.492701039597915,689047.142202916,18850.2060606061,5.8,0,0.630174123340782,0,3785.61959643965,64.6149257866222,5.35224237471629,1,0,10.5620032594239,NaN,2.73312009999063,179.624863499249,29.0899627539113,68.7301851469856
9,1,47,1,000001,2,1,10,11264,32703,689062.475157198,38550,0.399018797961691,0,8793.33457717244,0.44187610940565,689062.649565864,38550,53,0,-2.18312802055381,0,3792.41708008674,-27.2727272727273,5.35224237471629,0,0,-0.18362492158578,NaN,0.777548199985176,0,0,0
9,1,47,2,000001,2,1,10,11264,32703,689064.141097515,18279.1721854305,2.06495911522309,68.7903235527902,8793.33457717244,0.44187610940565,689064.141097515,18279.1721854305,53,0,0.74994849085145,0,3848.74665369469,67.2784542869049,5.35224237471629,1,0,12.8502274588398,NaN,2.50031650008168,172.39655677154,34.3834449185037,111.533528381015
9,1,48,1,000001,2,0,1,11264,32703,689081.858062347,38807,0.134969747043215,0,11898.7336163067,0.600946142237714,NaN,NaN,7.1,0,-6.73182188589788,0,3851.91038248074,-28.4714772144223,5.35224237471629,0,0,-0.580580196069286,NaN,0.246106900041923,0,0,0
9,1,48,2,000001,2,0,1,11264,32703,689083.515037701,18086.8846153846,1.79194510109009,69.5575662869776,11898.7336163067,0.600946142237714,689083.548370792,17621.2640449438,7.1,0,0.589431092253052,-4.88010120714355e-18,3934.86941228906,68.1753597864424,5.35224237471629,1,0,10.0351931290874,NaN,3.0165532999672,210.319522325914,26.1923020965354,86.7833034662267
9,1,49,1,000001,2,0,1,11264,32703,689104.50693933,38530.6956521739,0.183776730388079,0,11004.5477867438,0.552992351092653,689104.68111865,38486,6.5,0,-4.5990951070479,-1.54465812121761e-16,3966.67961307993,-27.1826841371982,5.35224237471629,0,0,0.508419235971827,NaN,0.343868199968711,0,0,0
9,1,49,2,000001,2,0,1,11264,32703,689106.172135267,18588.7740112994,1.84897266718293,67.1200464766136,11004.5477867438,0.552992351092652,689106.172135267,18588.7740112994,6.5,0,0.570663896489396,-0.00168656150428635,4042.81270800603,65.8343485643013,5.35224237471629,1,0,9.63535222651153,NaN,2.93288830004167,197.36532287361,25.340099147302,94.6289177640073
9,1,50,1,000001,2,0,10,11264,32703,689118.038858926,38486,0.316131925622288,0,9551.12645179346,0.479956103105199,689118.213149422,38486,57,0,-2.58993614560572,0.00765439451945345,4069.56745987308,-26.9742058864686,5.35224237471629,0,0,-0.323039368703812,NaN,0.612090800073929,0,0,0
9,1,50,2,000001,2,0,10,11264,32703,689119.704932911,18548.6211180124,1.98220591054165,67.5176319618289,9551.12645179346,0.479956103105199,689119.704932911,18548.6211180124,57,0,0.662576097024086,0,4133.42126623511,66.0216375856503,5.35224237471629,1,0,11.3772456824635,NaN,2.66618800000288,180.469873993675,29.882494171497,95.6375303247461
9,1,51,1,000001,2,1,1,11264,32703,689142.979168663,38662.1578947368,0.311930563196687,0,9472.93483837865,0.478431052443366,689143.145482233,38679,5.6,0,-2.83092053095564,0,4143.31855787686,-27.7958761823632,5.35224237471629,0,0,-0.787914793747745,NaN,0.599420599988662,0,0,0
9,1,51,2,000001,2,1,1,11264,32703,689144.636897823,18645.298136646,1.9696597230168,67.1817301783408,9472.93483837865,0.478431052443366,689144.636897823,18645.298136646,5.6,0,0.688563449845713,-5.51663614720575e-18,4205.14283360888,65.570697622809,5.35224237471629,1,0,11.8952544544264,NaN,2.66677530005109,179.622884404271,31.0936540451068,66.6431849280951
9,1,52,1,000001,2,1,10,11264,32703,689159.945928928,38284.0714285714,0.110162728590824,0,13857.4723634498,0.699872341588373,NaN,NaN,81,0,-7.96112558554837,-2.53765262771464e-16,4212.60226718701,-26.0323309322796,5.35224237471629,0,0,-2.54542789175934,NaN,0.196932199993171,0,0,0
9,1,52,2,000001,2,1,10,11264,32703,689161.602575843,16183.5459459459,1.76680964272771,78.2925776567596,13857.4723634498,0.699872341588372,689161.660903123,15294.2191011236,81,0,0.646031543927901,0,4309.26009075223,77.0532863195767,5.35224237471629,1,0,11.0341471654966,NaN,3.06660979997832,240.643509685866,29.7015490953983,77.8422417731909
9,1,53,1,000001,2,1,10,11264,32703,689175.669568071,37250.7777777778,0.216378670362583,0,12103.3420402071,0.608208142723975,689175.84381345,37243.6666666667,70,0,-4.16012355468487,0,4327.8153317883,-21.2126394784168,5.35224237471629,0,0,-1.57466576142821,NaN,0.410643400042318,0,0,0
9,1,53,2,000001,2,1,10,11264,32703,689177.33512015,16953.5433526012,1.8819307502557,74.3410235676417,12103.3420402071,0.608208142723974,689177.33512015,16953.5433526012,70,0,0.625110037970346,-5.133979304625e-18,4412.71152302353,73.4617129875407,5.35224237471629,1,0,10.8450188153134,NaN,2.86660529999062,213.634279502266,30.3190039412496,161.532867322786
9,1,54,1,000001,2,1,1,11264,32703,689190.860669445,38350.7777777778,0.145546644473345,0,12546.8538644526,0.633679488103668,NaN,NaN,7.4,0,-6.29123456214272,0,4431.23209543399,-26.343475804738,5.35224237471629,0,0,0.619587356375452,NaN,0.265865299967118,0,0,0
9,1,54,2,000001,2,1,1,11264,32703,689192.517772421,17244.6132596685,1.8026496204747,73.1352092569872,12546.8538644526,0.633679488103668,689192.542764977,16889.1348314607,7.4,0,0.620699767733662,0,4518.28512782107,72.1040474851042,5.35224237471629,1,0,10.4819816418625,NaN,2.99862349999603,219.829987467081,28.6696528743791,118.58887014528
9,1,55,1,000001,2,1,10,11264,32703,689204.426111961,38768.1428571429,0.228304060674938,0,11240.5732543495,0.567705719916644,689204.600293514,38743,67,0,-4.07651609550019,0,4543.82445561571,-28.290232087051,5.35224237471629,0,0,0.332338262045803,NaN,0.431594099965878,0,0,0
9,1,55,2,000001,2,1,10,11264,32703,689206.083655979,17581.0467836257,1.88584807892303,71.8474577916004,11240.5732543495,0.567705719916644,689206.083655979,17581.0467836257,67,0,0.667499711543891,-5.19402584619956e-18,4619.2142593642,70.5347880795479,5.35224237471629,1,0,11.3122802653196,NaN,2.83289510000031,204.027225623425,30.3468684194597,101.134867307706
9,1,56,1,000001,2,0,1,11264,32703,689217.283478287,39337.6666666667,0.318668387155646,0,8741.2425952703,0.441476898751025,689217.457983794,39321,5.3,0,-2.99585825496549,0,4638.37568407336,-30.9467170421506,5.35224237471629,0,0,-0.0678131514457859,NaN,0.614309999975376,0,0,0
9,1,56,2,000001,2,0,1,11264,32703,689218.941326817,19342.76875,1.97651691747014,64.179443495611,8741.2425952703,0.441476898751025,689218.941326817,19342.76875,5.3,0,0.670536172396101,0,4693.58266427741,62.3174180232287,5.35224237471629,1,0,11.3748892205793,NaN,2.65060009993613,170.548869038075,28.8300186443564,61.4536977608441
9,1,57,1,000001,2,1,10,11264,32703,689232.033158888,37601.8235294118,0.140393088222481,0,11747.3412939036,0.593300065348668,NaN,NaN,69,0,-5.81732576420652,0,4703.7538759139,-22.8500561099481,5.35224237471629,0,0,1.9579490922261,NaN,0.250737800030038,0,0,0
9,1,57,2,000001,2,1,10,11264,32703,689233.690354756,18376.021978022,1.79758895604275,67.578013025093,11747.3412939036,0.593300065348668,689233.715352758,18056.5698324022,69,0,0.543376582370938,-0.00164022739702582,4786.13191030144,66.826708437791,5.35224237471629,1,0,9.08929449206515,NaN,3.01698139996734,204.3438407173,25.3612295937115,78.1295055261354
9,1,58,1,000001,2,1,1,11264,32703,689248.274040695,38698.2,0.161236194951925,0,11629.7798404776,0.587362618205941,NaN,NaN,6.9,0,-5.22948831568637,0.0149260693129349,4818.96437933277,-27.9639908577826,5.35224237471629,0,0,0.150193572461402,NaN,0.297618099953979,0,0,0
9,1,58,2,000001,2,1,1,11264,32703,689249.931422032,18071.4022346369,1.81861753236859,69.566973587262,11629.7798404776,0.587362618205941,689249.939756872,17955.6292134831,6.9,0,0.617654715301123,0.00166771724166863,4898.89173193207,68.2475757514955,5.35224237471629,1,0,10.4933550588248,NaN,2.96688159997575,206.860876132891,27.70077457627,93.4926284443927
9,1,59,1,000001,2,0,1,11264,32703,689263.139429384,37972,0.312749584150305,0,8660.6068380055,0.437404385757854,689263.313962159,37972,5.2,0,-2.81484063720568,-0.00785582595417591,4915.25014563399,-24.5767060030785,5.35224237471629,0,0,0.316196994655584,NaN,0.599365600035526,0,0,0
9,1,59,2,000001,2,0,1,11264,32703,689264.797274004,19898.6335403727,1.97059420367518,60.9233921262337,8660.6068380055,0.437404385757854,689264.797274004,19898.6335403727,5.2,0,0.567984450465991,-2.75831807360287e-18,4974.79662619749,59.7246441514405,5.35224237471629,1,0,9.48471743751374,NaN,2.66643089998979,162.878737468694,25.0900409938085,110.081235405436
9,1,60,1,000001,2,1,1,11264,32703,689276.897389411,38807,0.299529010835859,0,8413.48010634824,0.422787945042625,689277.071686019,38807,5.1,0,-2.57676399287482,0,4996.18237185973,-28.4714772144223,5.35224237471629,0,0,0.41172755385172,NaN,0.577662199968472,0,0,0
9,1,60,2,000001,2,1,1,11264,32703,689278.56323789,20222.5950920245,1.96537748958981,59.7962671926195,8413.48010634824,0.422787945042625,689278.56323789,20222.5950920245,5.1,0,0.617875169871317,0,5050.92105140788,58.2135589718525,5.35224237471629,1,0,10.4433838108807,NaN,2.69827449996956,161.829453981511,26.7734715211947,73.2348992142747
